Concatenate,thermo_label,thermo_confidence,color_label,color_confidence,model_time,remarks,count,result,wrong_color,wrong_sun.shade,non_detected,correct,wrong_both,FP,FN,HARD_TO_DETECT,HARD_TO_DETERMINE_SHADE,HARD_TO_DETERMINE_COLOR,true_negative
H1E IMAG0001,Sun,99.15812612,Blue,80.68891168,10:38:18,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0001 (2),Sun,99.86466765,White,99.75450635,14:41:18,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0002,Sun,98.54940176,Blue,60.60838699,10:38:18,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0002 (2),Sun,99.92702603,White,99.12563562,14:41:18,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0003,Sun,99.93335605,White,68.48247647,10:38:20,,1,XC,1,0,0,0,0,0,0,0,0,0,0
H1E IMAG0003 (2),Sun,99.87320304,White,99.6563971,14:41:20,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0004,Sun,99.96249676,White,92.5239265,10:39:00,,1,XC,1,0,0,0,0,0,0,0,0,0,0
H1E IMAG0004 (2),Sun,99.94184971,White,99.48846698,14:42:04,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0005,Sun,99.91367459,White,72.35297561,10:39:00,,1,XC,1,0,0,0,0,0,0,0,0,0,0
H1E IMAG0005 (2),Sun,99.95610118,White,95.51630616,14:42:06,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0006,Sun,99.80821609,Blue,73.39124084,10:39:00,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0006 (2),Sun,99.89709854,White,96.93571329,14:42:06,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0007,Sun,99.61485863,Blue,99.94469285,10:39:42,,1,V,0,0,0,1,0,0,0,0,0,0,0
