X,thermo_label,thermo_confidence,color_label,color_confidence,xmin,ymin,xmax,ymax,filename,Time,camera,remarks,fp
0,Shade,90.31898379,Blue,99.90314245,7,2415,449,2753,IMAG0601,08:29:54,H1E,,0
0,Shade,84.51337814,Blue,99.90658164,18,2398,479,2761,IMAG0603,08:29:56,H1E,,0
0,Shade,80.8519125,Blue,99.80778694,12,2339,489,2760,IMAG0604,08:30:58,H1E,,0
0,Shade,75.3513217,Blue,99.84349608,13,2334,493,2754,IMAG0605,08:30:58,H1E,,0
0,Shade,80.35772443,Blue,99.9402523,27,2402,455,2758,IMAG0607,08:31:42,H1E,,0
0,Shade,90.86977839,Blue,99.88761544,29,2407,460,2750,IMAG0609,08:31:42,H1E,,0
0,Shade,58.81820917,Blue,99.88775849,20,2330,396,2767,IMAG0610,08:33:28,H1E,,0
0,Shade,76.64692998,Blue,99.84922409,17,2311,396,2761,IMAG0611,08:33:28,H1E,,0
0,Sun,64.04754519,Blue,99.88253713,19,2325,396,2763,IMAG0612,08:33:28,H1E,,0
0,Shade,63.97280097,Blue,99.97598529,5,2298,539,2758,IMAG0613,08:35:38,H1E,,0
0,Shade,61.48306727,Blue,94.64085698,4,2318,540,2765,IMAG0614,08:35:38,H1E,,0
0,Shade,60.82303524,Blue,99.26474094,4,2315,537,2770,IMAG0615,08:35:38,H1E,,0
0,Shade,99.94124174,Blue,99.24870729,6,2451,424,2766,IMAG0661,09:06:52,H1E,,0
0,Shade,99.96053576,Blue,99.52690005,4,2448,420,2769,IMAG0662,09:06:54,H1E,,0
0,Shade,99.86196756,Blue,99.7045815,7,2435,419,2770,IMAG0663,09:06:56,H1E,,0
0,Shade,68.65072846,Blue,99.97926354,7,2296,536,2772,IMAG0676,09:11:06,H1E,,0
0,Shade,69.68455911,Blue,99.97504354,0,2302,537,2776,IMAG0677,09:11:06,H1E,,0
0,Shade,82.45437741,Blue,99.98204112,1,2302,539,2777,IMAG0678,09:11:06,H1E,,0
0,Shade,82.98780322,Blue,99.96076226,0,2295,533,2775,IMAG0679,09:11:46,H1E,,0
0,Shade,79.743433,Blue,99.96852875,1,2317,533,2775,IMAG0680,09:11:48,H1E,,0
0,Shade,89.67955709,Blue,99.94685054,4,2304,523,2770,IMAG0681,09:11:48,H1E,,0
0,Shade,73.71969223,Blue,99.96318817,10,2335,513,2768,IMAG0682,09:12:38,H1E,,0
0,Shade,80.11146784,Blue,99.96497631,6,2325,521,2765,IMAG0683,09:12:38,H1E,,0
0,Shade,65.12135863,Blue,99.97871518,10,2332,517,2770,IMAG0684,09:12:38,H1E,,0
0,Shade,58.69957209,Blue,99.96063113,5,2182,519,2777,IMAG0685,09:13:18,H1E,,0
0,Sun,64.61707354,Blue,99.99171495,6,2121,500,2784,IMAG0686,09:13:20,H1E,,0
0,Sun,55.09120822,Blue,99.99005795,3,2110,495,2794,IMAG0687,09:13:20,H1E,,0
0,Shade,86.60623431,Blue,96.52385116,1,2283,270,2682,IMAG0706,09:24:42,H1E,,0
0,Shade,89.29068446,Blue,87.37233281,0,2286,272,2678,IMAG0707,09:24:42,H1E,,0
0,Shade,89.81989622,Blue,95.65706253,1,2283,273,2680,IMAG0708,09:24:44,H1E,,0
0,Shade,85.52182913,White,56.88656569,2,2345,306,2658,IMAG0709,09:25:34,H1E,,0
0,Sun,78.17761898,Blue,99.44406152,0,2305,314,2646,IMAG0710,09:25:36,H1E,,0
0,Shade,64.66291547,Blue,99.68307614,0,2305,312,2650,IMAG0711,09:25:36,H1E,,0
0,Sun,97.49985933,Blue,99.99164343,5,2170,678,2776,IMAG0712,09:26:30,H1E,,0
0,Sun,98.40022326,Blue,99.97517467,0,2181,688,2769,IMAG0713,09:26:30,H1E,,0
0,Sun,85.92008948,Blue,99.88316894,3,2129,698,2779,IMAG0714,09:26:32,H1E,,0
0,Sun,96.19210958,Blue,99.98956919,0,2158,676,2783,IMAG0715,09:27:26,H1E,,0
0,Sun,87.38692403,Blue,99.98836517,0,2155,696,2782,IMAG0716,09:27:28,H1E,,0
0,Sun,97.73156643,Blue,99.99531507,0,2161,654,2776,IMAG0717,09:27:28,H1E,,0
0,Sun,88.83638978,Blue,99.98930693,0,2128,656,2782,IMAG0718,09:28:12,H1E,,0
